Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Scenario,Mean,Error,StdDev,Ratio,RatioSD,Gen0,Gen1,Gen2,Allocated,Alloc Ratio
BuildDictionaryThenLookup,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)ers10 [22],"2,449.32 ns",127.472 ns,19.726 ns,1.252,0.01,3.1738,0.2861,0.0000,26608 B,30.24
LookupInPrebuiltDictionary,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)ers10 [22],15.66 ns,0.044 ns,0.007 ns,0.008,0.00,0.0000,0.0000,0.0000,0 B,0.00
FirstInsideOrderLoop,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)ers50 [22],"7,796.75 ns",334.402 ns,86.843 ns,1.00,0.01,0.5188,0.0000,0.0000,4400 B,1.00
Join,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)ers50 [22],"15,125.16 ns","1,088.350 ns",168.423 ns,1.94,0.03,12.5122,3.0823,0.0000,104728 B,23.80
BuildDictionaryThenLookup,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)ers50 [22],"2,484.54 ns",109.500 ns,28.437 ns,0.32,0.00,3.1738,0.2861,0.0000,26608 B,6.05
LookupInPrebuiltDictionary,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)ers50 [22],81.90 ns,2.549 ns,0.662 ns,0.01,0.00,0.0000,0.0000,0.0000,0 B,0.00
FirstInsideOrderLoop,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)rs100 [23],"15,217.33 ns",197.866 ns,51.385 ns,1.00,0.00,1.0376,0.0000,0.0000,8800 B,1.00
Join,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)rs100 [23],"16,193.03 ns","2,253.348 ns",585.187 ns,1.06,0.04,12.5122,3.0823,0.0000,104728 B,11.90
BuildDictionaryThenLookup,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)rs100 [23],"2,523.66 ns",8.088 ns,1.252 ns,0.17,0.00,3.1738,0.2861,0.0000,26608 B,3.02
LookupInPrebuiltDictionary,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)rs100 [23],167.18 ns,0.318 ns,0.049 ns,0.01,0.00,0.0000,0.0000,0.0000,0 B,0.00
FirstInsideOrderLoop,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)s1000 [24],"152,728.93 ns","1,003.997 ns",155.370 ns,1.00,0.00,10.4980,0.0000,0.0000,88000 B,1.00
Join,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)s1000 [24],"20,728.75 ns",622.359 ns,161.625 ns,0.14,0.00,12.5122,3.2654,0.0000,104696 B,1.19
BuildDictionaryThenLookup,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)s1000 [24],"3,976.57 ns",92.606 ns,24.049 ns,0.03,0.00,3.1738,0.2823,0.0000,26608 B,0.30
LookupInPrebuiltDictionary,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)s1000 [24],"1,596.77 ns",9.467 ns,2.459 ns,0.01,0.00,0.0000,0.0000,0.0000,0 B,0.00
FirstInsideOrderLoop,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)10000 [26],"13,250,771.65 ns","50,979.039 ns","7,889.063 ns",1.000,0.00,93.7500,0.0000,0.0000,880000 B,1.00
Join,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)10000 [26],"620,180.06 ns","11,937.977 ns","3,100.255 ns",0.047,0.00,140.6250,80.0781,40.0391,1142614 B,1.30
BuildDictionaryThenLookup,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)10000 [26],"52,476.77 ns","1,041.525 ns",270.481 ns,0.004,0.00,62.4390,62.4390,62.4390,242650 B,0.28
LookupInPrebuiltDictionary,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)10000 [26],"19,602.81 ns",472.272 ns,122.647 ns,0.001,0.00,0.0000,0.0000,0.0000,0 B,0.00
